AC_No,AC_Name,Winner_Party_2026_FullName,Alliance,Winner_ShortCode_2026,AC_Name_2021,Winner_Party_2021,Winner_Votes_2021,Winner_ShortCode_2021,Seat_Flipped
55,HOSUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Hosur,DMK,118231.0,DMK,True
56,THALLI,Communist Party of India,INDIA/SPA,CPI,Thalli,CPI,120641.0,CPI,False
57,PALACODU,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Palacode,ADMK,110070.0,AIADMK,False
58,PENNAGARAM,Tamilaga Vettri Kazhagam,Solo,TVK,Pennagaram,PMK,106123.0,PMK,True
59,DHARMAPURI,Pattali Makkal Katchi,NDA,PMK,Dharmapuri,PMK,105630.0,PMK,False
60,PAPPIREDDIPATTI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Pappireddipatti,ADMK,114507.0,AIADMK,False
61,HARUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Harur,ADMK,99061.0,AIADMK,False
62,CHENGAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Chengam,DMK,108081.0,DMK,True
63,TIRUVANNAMALAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Tiruvannamalai,DMK,137876.0,DMK,False
64,KILPENNATHUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Kilpennathur,DMK,104675.0,DMK,True
65,KALASAPAKKAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Kalasapakkam,DMK,94134.0,DMK,True
66,POLUR,Tamilaga Vettri Kazhagam,Solo,TVK,Polur,ADMK,97732.0,AIADMK,True
67,ARANI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Arani,ADMK,102961.0,AIADMK,False
68,CHEYYAR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Cheyyar,DMK,102460.0,DMK,True
69,VANDAVASI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Vandavasi,DMK,102064.0,DMK,False
70,GINGEE,Pattali Makkal Katchi,NDA,PMK,Gingee,DMK,109625.0,DMK,True
71,MAILAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Mailam,PMK,81044.0,PMK,True
72,TINDIVANAM,Viduthalai Chiruthaigal Katchi,INDIA/SPA,VCK,Tindivanam,ADMK,87152.0,AIADMK,True
73,VANUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Vanur,ADMK,92219.0,AIADMK,True
74,VILUPPURAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Villupuram,DMK,102271.0,DMK,False
75,VIKRAVANDI,Pattali Makkal Katchi,NDA,PMK,Vikravandi,DMK,93730.0,DMK,True
76,TIRUKKOYILUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Tirukkoyilur,DMK,110980.0,DMK,True
77,ULUNDURPETTAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Ulundurpettai,DMK,115451.0,DMK,False
78,RISHIVANDIYAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Rishivandiyam,DMK,113912.0,DMK,False
79,SANKARAPURAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Sankarapuram,DMK,121186.0,DMK,True
80,KALLAKURICHI,Tamilaga Vettri Kazhagam,Solo,TVK,Kallakurichi,ADMK,110643.0,AIADMK,True
81,GANGAVALLI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Gangavalli,ADMK,89568.0,AIADMK,False
82,ATTUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Attur,ADMK,95308.0,AIADMK,False
83,YERCAUD,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Yercaud,ADMK,121561.0,AIADMK,False
84,OMALUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Omalur,ADMK,142488.0,AIADMK,False
85,METTUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Mettur,PMK,97055.0,PMK,True
86,EDAPPADI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Edappadi,ADMK,163154.0,AIADMK,False
87,SANKARI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Sankari,ADMK,115472.0,AIADMK,False
88,SALEM (WEST),Tamilaga Vettri Kazhagam,Solo,TVK,Salem (West),PMK,105483.0,PMK,True
89,SALEM (NORTH),Tamilaga Vettri Kazhagam,Solo,TVK,Salem (North),DMK,93432.0,DMK,True
90,SALEM (SOUTH),Tamilaga Vettri Kazhagam,Solo,TVK,Salem (South),ADMK,97506.0,AIADMK,True
91,VEERAPANDI,Tamilaga Vettri Kazhagam,Solo,TVK,Veerapandi,ADMK,111682.0,AIADMK,True
92,RASIPURAM,Tamilaga Vettri Kazhagam,Solo,TVK,Rasipuram,DMK,90727.0,DMK,True
93,SENTHAMANGALAM,Tamilaga Vettri Kazhagam,Solo,TVK,Senthamangalam,DMK,90681.0,DMK,True
94,NAMAKKAL,Tamilaga Vettri Kazhagam,Solo,TVK,Namakkal,DMK,106494.0,DMK,True
95,PARAMATHI-VELUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Paramathi-Velur,ADMK,86034.0,AIADMK,False
96,TIRUCHENGODU,Tamilaga Vettri Kazhagam,Solo,TVK,Tiruchengodu,DMK,81688.0,DMK,True
97,KUMARAPALAYAM,Tamilaga Vettri Kazhagam,Solo,TVK,Kumarapalayam,ADMK,100800.0,AIADMK,True
98,ERODE (EAST),Tamilaga Vettri Kazhagam,Solo,TVK,Erode (East),INC,67300.0,INC,True
99,ERODE (WEST),Tamilaga Vettri Kazhagam,Solo,TVK,Erode (West),DMK,100757.0,DMK,True
100,MODAKKURICHI,Tamilaga Vettri Kazhagam,Solo,TVK,Modakkurichi,BJP,78125.0,BJP,True
101,DHARAPURAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Dharapuram,DMK,89986.0,DMK,True
102,KANGAYAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Kangayam,DMK,94197.0,DMK,True
103,PERUNDURAI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Perundurai,ADMK,85125.0,AIADMK,False
104,BHAVANI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Bhavani,ADMK,100915.0,AIADMK,False
105,ANTHIYUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Anthiyur,DMK,79096.0,DMK,True
106,GOBICHETTIPALAYAM,Tamilaga Vettri Kazhagam,Solo,TVK,Gobichettipalayam,ADMK,108608.0,AIADMK,True
107,BHAVANISAGAR,Tamilaga Vettri Kazhagam,Solo,TVK,Bhavanisagar,ADMK,99181.0,AIADMK,True
108,UDHAGAMANDALAM,Bharatiya Janata Party,NDA,BJP,Udhagamandalam,INC,65530.0,INC,True
109,GUDALUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Gudalur,ADMK,64496.0,AIADMK,True
110,COONOOR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Coonoor,DMK,61820.0,DMK,False
111,METTUPPALAYAM,Tamilaga Vettri Kazhagam,Solo,TVK,Mettuppalayam,ADMK,105231.0,AIADMK,True
112,AVANASHI,Tamilaga Vettri Kazhagam,Solo,TVK,Avanashi,ADMK,117284.0,AIADMK,True
113,TIRUPPUR (NORTH),Tamilaga Vettri Kazhagam,Solo,TVK,Tiruppur (North),ADMK,113384.0,AIADMK,True
114,TIRUPPUR (SOUTH),Tamilaga Vettri Kazhagam,Solo,TVK,Tiruppur (South),DMK,75535.0,DMK,True
115,PALLADAM,Tamilaga Vettri Kazhagam,Solo,TVK,Palladam,ADMK,126903.0,AIADMK,True
116,SULUR,Tamilaga Vettri Kazhagam,Solo,TVK,Sulur,ADMK,118968.0,AIADMK,True
117,KAVUNDAMPALAYAM,Tamilaga Vettri Kazhagam,Solo,TVK,Kavundampalayam,ADMK,135669.0,AIADMK,True
118,COIMBATORE (NORTH),Tamilaga Vettri Kazhagam,Solo,TVK,Coimbatore (North),ADMK,81454.0,AIADMK,True
119,THONDAMUTHUR,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Thondamuthur,ADMK,124225.0,AIADMK,False
120,COIMBATORE (SOUTH),Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Coimbatore (South),BJP,53209.0,BJP,True
121,SINGANALLUR,Tamilaga Vettri Kazhagam,Solo,TVK,Singanallur,ADMK,81244.0,AIADMK,True
122,KINATHUKADAVU,Tamilaga Vettri Kazhagam,Solo,TVK,Kinathukadavu,ADMK,101537.0,AIADMK,True
123,POLLACHI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Pollachi,ADMK,80567.0,AIADMK,True
124,VALPARAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Valparai,ADMK,71672.0,AIADMK,True
125,UDUMALAIPETTAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Udumalaipettai,ADMK,96893.0,AIADMK,True
126,MADATHUKULAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Madathukulam,ADMK,84313.0,AIADMK,True
127,PALANI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Palani,DMK,108566.0,DMK,True
128,ODDANCHATRAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Oddanchatram,DMK,109970.0,DMK,False
129,ATHOOR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Athoor,DMK,165809.0,DMK,False
