AC_No,AC_Name,Winner_Party_2026_FullName,Alliance,Winner_ShortCode_2026,AC_Name_2021,Winner_Party_2021,Winner_Votes_2021,Winner_ShortCode_2021,Seat_Flipped
223,ALANGULAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Alangulam,ADMK,74153.0,AIADMK,True
224,TIRUNELVELI,Tamilaga Vettri Kazhagam,Solo,TVK,Tirunelveli,BJP,92282.0,BJP,True
225,AMBASAMUDRAM,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Ambasamudram,ADMK,85211.0,AIADMK,False
226,PALAYAMKOTTAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Palayamkottai,DMK,89117.0,DMK,False
227,NANGUNERI,Tamilaga Vettri Kazhagam,Solo,TVK,Nanguneri,INC,75902.0,INC,True
228,RADHAPURAM,Tamilaga Vettri Kazhagam,Solo,TVK,Radhapuram,DMK,82331.0,DMK,True
229,KANNIYAKUMARI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Kanniyakumari,ADMK,109828.0,AIADMK,False
230,NAGERCOIL,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Nagercoil,BJP,88804.0,BJP,True
231,COLACHAL,Indian National Congress,INDIA/SPA,INC,Colachal,INC,90681.0,INC,False
232,PADMANABHAPURAM,Communist Party of India (Marxist),INDIA/SPA,CPI(M),Padmanabhapuram,DMK,87744.0,DMK,True
233,VILAVANCODE,Indian National Congress,INDIA/SPA,INC,Vilavancode,INC,87473.0,INC,False
234,KILLIYOOR,Indian National Congress,INDIA/SPA,INC,Killiyoor,INC,101541.0,INC,False
